지점번호,지점명칭,위도,경도,주소,도로명 주소,유입 방향,유출방향
A-01,성산로(금화터널),37.568588 ,126.948436 ,서울시 서대문구 신촌동 1-142,,[성산로]봉원고가차도->독립문역,[성산로]독립문역->봉원고가차도
A-02,사직로(사직터널),37.572298 ,126.962853 ,서울시 종로구 행촌동 1-186,,[사직로]독립문역->사직단,[사직로]사직단->독립문역
A-03,자하문로(자하문터널),37.588831 ,126.968548 ,서울시 종로구 청운동 24-6,,[자하문로]석파정->청운초등학교,[자하문로]청운초등학교->석파정
A-04,대사관로(삼청터널),37.596359 ,126.984209 ,서울시 성북구 성북동 산25-148,,[삼청로]삼청각->삼청공원입구,[삼청로]삼청공원입구->삼청각
A-05,율곡로(안국역),37.576000 ,126.984342 ,서울시 종로구 경운동 90-4,서울시 종로구 율곡로 46,[율곡로]안국역->안국동사거리,[율곡로]안국동사거리->안국역
A-06,창경궁로(서울여자대학교),37.582526 ,126.998011 ,서울시 종로구 명륜4가 197-5,,[창경궁로]성균관대입구->원남동사거리,[창경궁로]원남동사거리->성균관대입구
A-07,대학로(한국방송통신대학교),37.578188 ,127.002053 ,서울시 종로구 연건동 72-3,,[대학로]혜화동로터리->이화사거리,[대학로]이화사거리->혜화동로터리
A-08,종로(동묘앞역),37.573262 ,127.017112 ,서울시 종로구 숭인동 273,서울시 종로구 종로 358,[종로]신설동역->동묘앞역,[종로]동묘앞역->신설동역
A-09,퇴계로(신당역),37.565712 ,127.020912 ,서울시 중구 황학동 710,서울시 중구 퇴계로 443,[퇴계로]상왕십리역->신당역,[퇴계로]신당역->상왕십리역
A-10,동호로(장충체육관),37.558563 ,127.007101 ,서울시 중구 장충동2가 200-99,서울시 중구 동호로 233-1,[동호로]약수역->장충체육관,[동호로]장충체육관->약수역
A-11,장충단로(장충단공원),37.556889 ,127.004655 ,서울시 중구 장충동2가 산6-6,,[장충단로]남산2호터널북단->장충체육관,[장충단로]장충체육관->남산2호터널북단
A-12,퇴계로(회현역),37.557432 ,126.976486 ,서울시 중구 남창동 236-2,서울시 중구 퇴계로 33,[퇴계로]서울역->회현역,[퇴계로]회현역->서울역
A-13,세종대로(서울역),37.558061 ,126.973439 ,서울시 중구 남대문로5가 84-15,서울시 중구 세종대로 16-2,[세종대로]서울역->숭례문,[세종대로]숭례문->서울역
A-14,새문안로(서울역사박물관),37.569776 ,126.971354 ,서울시 종로구 신문로2가 1-2,,[새문안로]서울역사박물관->광화문역,[새문안로]광화문역->서울역사박물관
A-15,종로(종로3가역),37.570216 ,126.990832 ,서울시 종로구 종로3가 137-3,서울시 종로구 종로 116-4,[종로]종로3가->종로2가,[종로]종로2가->종로3가
A-16,서소문로(시청역),37.562819 ,126.972716 ,서울시 중구 서소문동 72-2,서울시 중구 서소문로 107-1,[서소문로]경찰청앞->시청역,[서소문로]시청역->경찰청앞
A-17,세종대로(시청역2),37.567496 ,126.977208 ,서울시 중구 태평로1가 61-29,,[세종대로]서울시의회->덕수궁,[세종대로]덕수궁->서울시의회
A-18,을지로(을지로3가역),37.566114 ,126.989326 ,서울시 중구 을지로2가 149-10,서울시 중구 을지로 102-2,[을지로]을지로3가역->을지로2가,[을지로]을지로2가->을지로3가역
A-19,칠패로(숭례문),37.559593 ,126.972518 ,서울시 중구 봉래동1가 47-2,,[칠패로]염천교->숭례문,[칠패로]숭례문->염천교
A-20,남산1호터널,37.542406 ,127.001356 ,서울시 용산구 한남동 산 10-33,서울시 용산구 이태원로 281,[삼일대로]한남1고가차도->남산1호터널북단,[삼일대로]남산1호터널북단->한남1고가차도
A-21,남산2호터널,37.544301 ,126.989767 ,서울시 용산구 이태원동 262-35,,[녹사평대로58길]용암초등학교->남산2호터널북단,[녹사평대로58길]남산2호터널북단->용암초등학교
A-22,남산3호터널,37.544496 ,126.988350 ,서울시 용산구 용산동2가 5-432,,[녹사평대로]용암초등학교->남산3호터널북단,[녹사평대로]남산3호터널북단->용암초등학교
A-23,소월로(회현역),37.557044 ,126.976362 ,서울시 중구 남창동 217-1,,[소월로]도동삼거리->숭례문,[소월로]숭례문->도동삼거리
A-24,소파로(숭의여자대학교),37.554896 ,126.983521 ,서울시 중구 회현동1가 산1-16,서울시 중구 소파로 57,[소파로]백범광장->숭의여대,[소파로]숭의여대->백범광장
B-01,도봉로(도봉산역),37.691792 ,127.045087 ,서울시 도봉구 도봉동 378-1,서울시 도봉구 도봉로 969,[도봉로]도봉로의정부시계->도봉산역,[도봉로]도봉산역->도봉로의정부시계
B-02,동일로(의정부IC),37.688571 ,127.055376 ,서울시 노원구 상계동 1311-3,,[동일로]의정부IC->수락지하차도,[동일로]수락지하차도->의정부IC
B-03,아차산로(워커힐),37.550897 ,127.108955 ,서울시 광진구 광장동 145-2,,[아차산로]아차산로구리시계->광나루역,[아차산로]광나루역->아차산로구리시계
B-04,망우로(망우리공원),37.601476 ,127.115674 ,경기도 구리시 교문동 346-3,,[망우로]망우로구리시계->동부제일병원,[망우로]동부제일병원->망우로구리시계
B-05,경춘북로(중랑경찰서),37.619942 ,127.105325 ,서울시 중랑구 신내동 271-1,,[경춘북로]경춘북로구리시계->신내IC,[경춘북로]신내IC->경춘북로구리시계
B-06,화랑로(조선왕릉),37.630725 ,127.098984 ,서울시 노원구 공릉동산223-19,서울시 노원구 화랑로 681,[화랑로]갈매교차로->화랑대사거리,[화랑로]화랑대사거리->갈매교차로
B-07,북부간선도로(신내IC),37.613824 ,127.108700 ,서울시 중랑구 신내동 122-3,,[북부간선도로]북부간선도로구리시계->신내IC,[북부간선도로]신내IC->북부간선도로구리시계
B-08,서하남로(서하남IC),37.516777 ,127.146728 ,경기도 하남시 감북동 442-15,,[강동대로]서하남IC입구->둔촌사거리,[강동대로]둔촌사거리->서하남IC입구
B-09,천호대로(상일IC),37.547459 ,127.175222 ,서울시 강동구 상일동 12-2,,[천호대로]상일IC입구->상일초교,[천호대로]상일초교->상일IC입구
B-10,올림픽대로(강일IC),37.569891 ,127.157292 ,서울시 강동구 고덕동 365-3,,[올림픽대로]강일IC->암사대교남단,[올림픽대로]암사대교남단->강일IC
B-11,경부고속도로(양재IC),37.465083 ,127.038643 ,서울시 서초구 양재동 227-4,,[경부고속도로]양재IC->서초IC,[경부고속도로]서초IC->양재IC
B-12,송파대로(복정역),37.468797 ,127.126419 ,서울시 송파구 장지동 697-14,,[송파대로]복정역->장지교,[송파대로]장지교->복정역
B-13,밤고개로(세곡동사거리),37.462416 ,127.107883 ,서울시 강남구 세곡동 130-6,,[밤고개로]밤고개로성남시계->세곡동사거리,[밤고개로]세곡동사거리->밤고개로성남시계
B-14,분당수서로(성남시계),37.471129 ,127.123078 ,서울시 송파구 장지동 698-5,,[분당수서로]복정교차로->수서IC,[분당수서로]수서IC->복정교차로
B-15,과천대로(남태령역),37.463288 ,126.988151 ,서울시 서초구 방배동 산190-1 ,,[과천대로]과천대로과천시계->사당역,[과천대로]사당역->과천대로과천시계
B-16,양재대로(양재IC),37.460089 ,127.030175 ,경기도 과천시 주암동 89-18,,[양재대로]선암IC->양재IC,[양재대로]양재IC->선암IC
B-17,반포대로(우면산터널),37.483905 ,127.011416 ,서울시 서초구 서초동 1460-6,,[반포대로]예술의전당->서초3동사거리,[반포대로]서초3동사거리->예술의전당
B-18,시흥대로(석수역),37.437013 ,126.902811 ,서울시 금천구 시흥동 1001-34,,[시흥대로]석수역->기아대교앞,[시흥대로]기아대교앞->석수역
B-19,금오로(광명시계),37.482431 ,126.841891 ,서울시 구로구 천왕동 24-2,,[금오로]천왕지구삼거리->연지마을,[금오로]연지마을->천왕지구삼거리
B-20,오리로(광명시계),37.482607 ,126.843109 ,서울시 구로구 천왕동 10-1,,[오리로]천왕역->광명교,[오리로]광명교->천왕역
B-21,개봉로(개봉교),37.486181 ,126.856500 ,서울시 구로구 개봉동 403-97,서울시 구로구 개봉로 12-1,[개봉로]개봉교사거리->경서농협개봉역지점,[개봉로]경서농협개봉역지점->개봉교사거리
B-22,광명대교(광명시계),37.485044 ,126.873297 ,서울시 금천구 가산동 535-121,,[가마산로]광명대교사거리->구로IC,[가마산로]구로IC->광명대교사거리
B-23,철산교(광명시계),37.474933 ,126.878154 ,서울시 금천구 가산동 614-72,,[디지털로]철산대교사거리->수출의다리,[디지털로]수출의다리->철산대교사거리
B-24,금천교(광명시계),37.465046 ,126.884245 ,서울시 금천구 독산동 668-54,,[범안로]금천교교차로->독산역,[범안로]독산역->금천교교차로
B-25,금하로(광명시계),37.451400 ,126.891627 ,경기도 광명시 소하동 31-25,경기도 광명시 금하로 531-1,[금하로]신촌사거리->시흥대교,[금하로]시흥대교->신촌사거리
B-26,오정로(부천시계),37.542779 ,126.809411 ,서울시 강서구 공항동 406-13,,[오정로]오쇠삼거리->외발산사거리,[오정로]외발산사거리->오쇠삼거리
B-27,화곡로(화곡로입구),37.539227 ,126.823123 ,서울시 양천구 신월동 37-1,서울시 양천구 남부순환로 284-2,[화곡로]화곡로부천시계->화곡로입구,[화곡로]화곡로입구->화곡로부천시계
B-28,경인고속국도(신월IC),37.524875 ,126.831933 ,서울시 양천구 신월동 904-1,서울시 양천구 지양로16길 17-20,[경인고속도로]부천IC->신월IC,[경인고속도로]신월IC->부천IC
B-29,경인로(유한공고),37.488614 ,126.822789 ,경기도 부천시 소사구 괴안동 206-5,,[경인로]유한공고->오정초등학교,[경인로]오정초등학교->유한공고
B-30,신정로(작동터널),37.506104 ,126.824602 ,서울시 구로구 궁동 산 1-94,,[신정로]신정로부천시계->서부트럭터미널,[신정로]서부트럭터미널->신정로부천시계
B-31,김포대로(개화교),37.585313 ,126.795571 ,경기도 김포시 고촌읍 전호리 436-3,,[김포대로]고촌IC->개화교,[김포대로]개화교->고촌IC
B-32,올림픽대로(개화IC),37.587814 ,126.812795 ,서울 강서구 개화동 280-2,,[올림픽대로]행주대교남단->방화대교남단,[올림픽대로]방화대교남단->행주대교남단
B-33,통일로(고양시계),37.644685 ,126.911270 ,경기 고양시 덕양구 동산동 2-13,,[통일로]통일로고양시계->구파발사거리,[통일로]구파발사거리->통일로고양시계
B-34,서오릉로(고양시계),37.617883 ,126.906260 ,서울시 은평구 구산동 304-15,서울시 은평구 서오릉로 267,[서오릉로]서오릉로고양시계->구산사거리,[서오릉로]구산사거리->서오릉로고양시계
B-35,수색로(고양시계),37.587472 ,126.886414 ,서울시 은평구 수색동 281-12,,[수색로]수색로고양시계->수색교,[수색로]수색교->수색로고양시계
B-36,강변북로(난지한강공원),37.570903 ,126.872321 ,서울시 마포구 상암동 481-226,,[강변북로]가양대교북단->난지IC,[강변북로]난지IC->가양대교북단
B-37,강변북로(구리시계),37.558389 ,127.114274 ,경기도 구리시 아천동 390,,[강변북로]암사대교북단->광진교북단,[강변북로]광진교북단->암사대교북단
C-01,행주대교,37.598121 ,126.809931 ,서울시 강서구 개화동 652,,[개화동로]행주대교남단->행주대교북단,[개화동로]행주대교북단->행주대교남단
C-03,가양대교,37.571567 ,126.862726 ,서울시 마포구 상암동 506-68,,[화곡로]가양대교남단->가양대교북단,[화곡로]가양대교북단->가양대교남단
C-04,성산대교,37.552680 ,126.891564 ,서울시 마포구 망원동 306-53,,[성산로]성산대교남단->성산대교북단,[성산로]성산대교북단->성산대교남단
C-05,양화대교,37.542913 ,126.903766 ,서울시 마포구 합정동 351-4,,[선유로]양화대교남단->양화대교북단,[선유로]양화대교북단->양화대교남단
C-06,서강대교,37.537537 ,126.925341 ,서울시 영등포구 여의도동 83-1,,[국회대로]서강대교남단->서강대교북단,[국회대로]서강대교북단->서강대교남단
C-07,마포대교,37.533628 ,126.936512 ,서울시 영등포구 여의도동 85-2,,[여의대로]마포대교남단->마포대교북단,[여의대로]마포대교북단->마포대교남단
C-08,원효대교,37.526745 ,126.945137 ,서울시 영등포구 여의도동 87-2,,[여의대방로]원효대교남단->원효대교북단,[여의대방로]원효대교북단->원효대교남단
C-09,한강대교,37.518160 ,126.959472 ,서울시 용산구 이촌동 302-211,,[양녕로]한강대교남단->한강대교북단,[양녕로]한강대교북단->한강대교남단
C-10,동작대교,37.509936 ,126.981814 ,서울시 용산구 이촌동 385,,[동작대로]동작대교남단->동작대교북단,[동작대로]동작대교북단->동작대교남단
C-11,반포대교,37.514431 ,126.996663 ,서울시 서초구 반포동 647,,[반포대로]반포대교남단->반포대교북단,[반포대로]반포대교북단->반포대교남단
C-12,잠수교,37.508260 ,126.999744 ,서울시 서초구 잠원동 114,서울시 서초구 신반포로 200,[반포대로]반포고가차도->반포대교남단,[반포대로]반포대교남단->반포고가차도
C-13,한남대교,37.526946 ,127.013190 ,서울시 강남구 신사동 490,,[강남대로]한남대교남단->한남대교북단,[강남대로]한남대교북단->한남대교남단
C-14,동호대교,37.538207 ,127.019882 ,서울시 성동구 옥수동 86,,[논현로]동호대교남단->동호대교북단,[논현로]동호대교북단->동호대교남단
C-15,성수대교,37.536768 ,127.034972 ,서울시 성동구 옥수동 484,,[언주로]성수대교남단->성수대교북단,[언주로]성수대교북단->성수대교남단
C-16,영동대교,37.530295 ,127.057339 ,서울시 광진구 자양동 825-1,,[영동대로]영동대교남단->영동대교북단,[영동대로]영동대교북단->영동대교남단
C-17,청담대교,37.525513 ,127.064067 ,서울시 강남구 청담동 345,,[분당수서로]청담대교남단->청담대교북단,[분당수서로]청담대교북단->청담대교남단
C-18,잠실대교,37.523821 ,127.092036 ,서울시 송파구 신천동 245,,[송파대로]잠실대교남단->잠실대교북단,[송파대로]잠실대교북단->잠실대교남단
C-19,올림픽대교,37.533789 ,127.104120 ,서울시 송파구 신천동 253,,[강동대로]올림픽대교남단->올림픽대교북단,[강동대로]올림픽대교북단->올림픽대교남단
C-20,천호대교,37.542673 ,127.112883 ,서울시 송파구 풍납동 383,,[천호대로]천호대교남단->천호대교북단,[천호대로]천호대교북단->천호대교남단
C-21,광진교,37.544120 ,127.115274 ,서울시 강동구 천호동 484-9,,[구천면로]광진교남단->광진교북단,[구천면로]광진교북단->광진교남단
D-01,진흥로(구기터널),37.608686 ,126.955198 ,서울시 종로구 구기동 244-7,,[진흥로]구기터널동측->신영동삼거리,[진흥로]신영동삼거리->구기터널동측
D-02,평창문화로(북악터널),37.611547 ,126.979308 ,서울시 종로구 평창동 2-15,,[평창문화로]국민대학교앞->신영동삼거리,[평창문화로]신영동삼거리->국민대학교앞
D-03,동호로(금호터널),37.551919 ,127.012977 ,서울시 중구 신당동 349-202,,[동호로]금호역->약수역,[동호로]약수역->금호역
D-04,서빙고로(한남역),37.527197 ,127.004697 ,서울시 용산구 한남동 542-10,,[서빙고로]한남역->서빙고고가차도,[서빙고로]서빙고고가차도->한남역
D-05,천호대로(군자교),37.560716 ,127.068571 ,서울시 성동구 용답동 224-4,서울시 성동구 천호대로 430-1,[천호대로]군자교서단->장한평역,[천호대로]장한평역->군자교서단
D-06,뚝섬로(용비교),37.542006 ,127.020674 ,서울시 성동구 옥수동 산 1-11 ,,[뚝섬로]용비교->옥수역,[뚝섬로]옥수역->용비교
D-07,동일로(군자교),37.553809 ,127.070504 ,서울시 성동구 송정동 83,서울시 성동구 동일로 43가길 6,[동일로]군자교동단->화양사거리,[동일로]화양사거리->군자교동단
D-08,화랑로(상월곡역),37.603932 ,127.044044 ,서울시 성북구 하월곡동 37-7,서울시 성북구 화랑로 103-1,[화랑로]상월곡역->월곡역,[화랑로]월곡역->상월곡역
D-09,동소문로(길음교사거리),37.599755 ,127.021693 ,서울시 성북구 돈암동 32-31,,[동소문로]길음교사거리->성신여대입구역,[동소문로]성신여대입구역->길음교사거리
D-10,화랑로(화랑대역),37.619936 ,127.082950 ,"서울시, 노원구 공릉동 280-2",,[화랑로]화랑대역->태릉입구역,[화랑로]태릉입구역->화랑대역
D-11,도봉로(쌍문역),37.645707 ,127.033171 ,서울시 도봉구 창동 650-46,서울시 도봉구 도봉로 446,[도봉로]쌍문역->우이교,[도봉로]우이교->쌍문역
D-12,동부간선도로(월계1교),37.631579 ,127.063432 ,서울시 노원구 월계동 247-17,,[동부간선도로]월계1교서측->월릉교서측,[동부간선도로]월릉교동측->월계1교동측
D-13,동일로(노원역),37.652409 ,127.061032 ,서울시 노원구 상계동 729,서울시 노원구 동일로 1409,[동일로]노원역->중계역,[동일로]중계역->노원역
D-14,증산로(디지털미디어시티역),37.579684 ,126.905124 ,서울시 은평구 증산동 199-12,,[증산로]증산3교->증산교,[증산로]증산교->증산3교
D-15,통일로(산골고개정류장),37.594931 ,126.940246 ,서울시 서대문구 홍은동 137-8,,[통일로]녹번역->홍은사거리,[통일로]홍은사거리->녹번역
D-16,성산로(연희IC),37.563506 ,126.930100 ,서울시 서대문구 연희동 341-41,,[성산로]연희교차로->연세대,[성산로]연세대->연희교차로
D-17,연희로(연희IC),37.566264 ,126.930537 ,서울시 서대문구 연희동 187-58,,[연희로]연희IC->연희삼거리,[연희로]연희삼거리->연희IC
D-18,남부순환로(화곡로입구 교차로),37.540163 ,126.825453 ,서울시 양천구 신월동 29-7,,[남부순환로]외발산사거리->화곡로입구,[남부순환로]화곡로입구->외발산사거리
D-19,남부순환로(신월IC),37.524081 ,126.835862 ,서울시 양천구 신월동 838 ,,[남부순환로]신월IC->오솔길공원,[남부순환로]오솔길공원->신월IC
D-20,강서로(화곡터널),37.534375 ,126.845094 ,서울시 강서구 화곡동 산172-2,,[강서로]까치산역->화곡터널,[강서로]화곡터널->까치산역
D-21,공항대로(발산역),37.559251 ,126.831069 ,서울시 강서구 마곡동 727-1154,,[공항대로]마곡역->발산역,[공항대로]발산역->마곡역
D-22,경인로(오류IC),37.498246 ,126.851219 ,서울시 구로구 개봉동 80-22,서울시 구로구 경인로 275,[경인로]오류IC->개봉사거리,[경인로]개봉사거리->오류IC
D-23,경인로(거리공원입구교차로),37.506440 ,126.884382 ,서울시 구로구 신도림동 435-17,,[경인로]구로역->신도림역,[경인로]신도림역->구로역
D-24,시흥대로(시흥IC),37.477189 ,126.898532 ,서울시 금천구 독산동 142-7,,[시흥대로]독산사거리->시흥IC,[시흥대로]시흥IC->독산사거리
D-25,영등포로(오목교),37.523175 ,126.883725 ,서울시 영등포구 양평동2가 20-1,,[영등포로]오목교동측->관악고교,[영등포로]관악고교->오목교동측
D-26,시흥대로(구로디지털단지역),37.486787 ,126.904415 ,서울시 영등포구 대림동 993-57,서울시 영등포구 시흥대로 607,[시흥대로]구로디지털단지역->대림사거리,[시흥대로]대림사거리->구로디지털단지역
D-27,국회대로(여의2교),37.526003 ,126.910953 ,서울시 영등포구 영등포동7가 94-411,,[국회대로]여의2교남단->국회의사당,[국회대로]국회의사당->여의2교남단
D-28,경인로(서울교),37.520190 ,126.914903 ,서울시 영등포구 영등포동2가 97-1,,[경인로]서울교남단->여의도공원,[경인로]여의도공원->서울교남단
D-29,여의대방로(여의교),37.516852 ,126.928374 ,서울시 영등포구 여의도동 5-7,,[여의대방로]여의교남단->샛강역,[여의대방로]샛강역->여의교남단
D-30,양녕로(상도터널),37.511204 ,126.953469 ,서울시 동작구 본동 136-4,,[양녕로]상도터널->노들역,[양녕로]노들역->상도터널
D-31,동작대로(총신대입구역),37.494352 ,126.982914 ,서울시 서초구 방배동 1255,,[동작대로]경문고교->이수교차로,[동작대로]이수교차로->경문고교
D-32,문성로(난곡터널),37.479046 ,126.924252 ,서울시 관악구 신림동 438-44,,[문성로]신림초교->난곡우체국앞,[문성로]난곡우체국앞->신림초교
D-33,남부순환로(낙성대역),37.477711 ,126.962242 ,서울시 관악구 봉천동 1685-32,서울시 관악구 남부순환로 1917,[남부순환로]낙성대입구->낙성대역,[남부순환로]낙성대역->낙성대입구
D-34,남부순환로(예술의전당),37.476405 ,127.004450 ,서울시 서초구 방배동 1009-3,서울시 서초구 남부순환로 2311-1,[남부순환로]사당역->예술의전당,[남부순환로]예술의전당->사당역
D-35,강남대로(강남역-신분당),37.490590 ,127.031160 ,서울시 강남구 역삼동 858,서울시 강남구 강남대로 302-2,[강남대로]뱅뱅사거리->강남역,[강남대로]강남역->뱅뱅사거리
D-36,사평대로(고속터미널역),37.503742 ,127.007779 ,서울시 서초구 반포동 60-2,,[사평대로]삼호가든사거리->서울성모병원,[사평대로]서울성모병원->삼호가든사거리
D-37,반포대로(서초역),37.496240 ,127.005554 ,서울시 서초구 서초동 산 183-3 ,,[반포대로]서초역->서울성모병원,[반포대로]서울성모병원->서초역
D-38,언주로(매봉터널),37.492009 ,127.047969 ,서울시 강남구 도곡동 산 6-13,,[언주로]매봉터널->영동세브란스,[언주로]영동세브란스->매봉터널
D-39,남부순환로(수서IC),37.495912 ,127.090903 ,서울시 강남구 일원동 3-16,,[남부순환로]수서IC->탄천1교,[남부순환로]탄천1교->수서IC
D-40,헌릉로(세곡동사거리),37.465092 ,127.105635 ,서울시 강남구 세곡동 산 30-4,,[헌릉로]세곡동사거리->내곡IC,[헌릉로]내곡IC->세곡동사거리
D-41,노들로(여의하류IC),37.529712 ,126.909281 ,서울시 영등포구 당산동 364 ,,[노들로]여의하류IC->여의2교,[노들로]여의2교->여의하류IC
D-42,테헤란로(선릉역),37.505483 ,127.052134 ,서울시 강남구 삼성동 172-66,서울시 강남구 테헤란로 421-2,[테헤란로]선릉역->포스코사거리,[테헤란로]포스코사거리->선릉역
D-43,강남대로(신사역),37.514859 ,127.020098 ,서울시 강남구 논현동 17-5,,[강남대로]논현역->신사역,[강남대로]신사역->논현역
D-44,백제고분로(종합운동장),37.510639 ,127.078559 ,서울시 송파구 잠실동 124,,[백제고분로]아시아선수촌아파트->종합운동장,[백제고분로]종합운동장->아시아선수촌아파트
D-45,송파대로(송파역),37.500537 ,127.111445 ,서울시 송파구 송파동 2-15 ,,[송파대로]송파역->석촌역,[송파대로]석촌역->송파역
F-01,올림픽대로,37.506002 ,126.973750 ,서울시 동작구 동작동 322-3,,[올림픽대로]동작대교남단->한강대교남단,[올림픽대로]한강대교남단->동작대교남단
F-02,강변북로,37.517004 ,126.973968 ,서울시 용산구 이촌동 302-131,,[강변북로]동작대교북단->한강대교북단,[강변북로]한강대교북단->동작대교북단
F-03,내부순환로,37.608679 ,126.998878 ,서울시 성북구 정릉동 590-16,,[내부순환로]정릉터널->국민대램프,[내부순환로]홍지문터널->홍은램프
F-04,북부간선로,37.608556 ,127.052577 ,서울시 성북구 장위동 65-175 ,,[북부간선도로]월롱IC->하월곡램프,[북부간선도로]하월곡램프->월롱IC
F-05,동부간선도로,37.568685 ,127.076023 ,서울시 동대문구 장안동 19-7,,[동부간선도로]장안교->군자교,[동부간선도로]군자교->장안교
F-06,경부고속도로,37.493135 ,127.022533 ,서울시 서초구 서초동 1748-26 ,,[경부고속도로]서초2교 -> 서초IC,[경부고속도로]서초IC -> 서초2교
F-07,분당수서로,37.497648 ,127.087195 ,서울시 강남구 일원동 467-1,,[분당수서로]수서IC->탄천1교,[분당수서로]탄천1교->수서IC
F-08,강남순환로(관악터널),37.449096 ,126.926169 ,서울시 금천구 시흥동 산 93-1,,[강남순환로]금천요금소->관악IC,[노들로]관악IC->금천요금소
F-09,서부간선도로,37.520965 ,126.881826 ,서울시 영등포구 문래동6가 52,서울시 영등포구 영동포로2길 34,[서부간선도로]신정교->목동교,[서부간선도로]목동교->신정교
,,,,,,,
※ 영상검지기의 경우 유입방향 기준으로 작성,,,,,,,